        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202602270000,   1.618,   2.387,   0.400,   0.369,   2.387,   0.400,   2.387,   0.500,   2.487
202602270006,   1.545,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270012,   1.473,   2.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270018,   1.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270024,   1.326,   2.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270030,   1.253,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270036,   1.180,   1.948,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270042,   1.106,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270048,   1.033,   1.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270054,   0.960,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270100,   0.887,   1.689,   0.400,   0.402,   1.689,   0.400,   1.689,   0.500,   1.789
202602270106,   0.815,   1.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270112,   0.744,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270118,   0.674,   1.430,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270124,   0.606,   1.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270130,   0.539,   1.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270136,   0.474,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270142,   0.412,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270148,   0.352,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270154,   0.295,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270200,   0.242,   1.020,   0.500,   0.278,   1.020,   0.400,   0.920,   0.500,   1.020
202602270206,   0.192,   0.980,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270212,   0.147,   0.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270218,   0.105,   0.839,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270224,   0.069,   0.800,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270230,   0.038,   0.760,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270236,   0.011,   0.741,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270242,  -0.008,   0.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270248,  -0.023,   0.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270254,  -0.032,   0.760,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270300,  -0.035,   0.898,   0.500,   0.433,   0.898,   0.400,   0.798,   0.500,   0.898
202602270306,  -0.032,   0.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270312,  -0.023,   0.819,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270318,  -0.008,   0.839,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270324,   0.012,   0.859,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270330,   0.039,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270336,   0.072,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270342,   0.110,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270348,   0.153,   1.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270354,   0.202,   1.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270400,   0.255,   1.489,   0.500,   0.734,   1.489,   0.400,   1.389,   0.500,   1.489
202602270406,   0.312,   1.571,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270412,   0.374,   1.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270418,   0.439,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270424,   0.508,   1.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270430,   0.581,   1.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270436,   0.656,   1.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270442,   0.733,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270448,   0.813,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270454,   0.895,   2.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270500,   0.979,   2.220,   0.500,   0.741,   2.220,   0.400,   2.120,   0.500,   2.220
202602270506,   1.065,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270512,   1.151,   2.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270518,   1.240,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270524,   1.329,   2.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270530,   1.419,   2.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270536,   1.510,   2.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270542,   1.602,   2.640,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270548,   1.694,   2.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270554,   1.787,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270600,   1.880,   3.138,   0.500,   0.758,   3.138,   0.400,   3.038,   0.500,   3.138
202602270606,   1.974,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270612,   2.068,   3.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270618,   2.162,   3.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270624,   2.256,   3.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270630,   2.350,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270636,   2.444,   3.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270642,   2.538,   3.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270648,   2.631,   3.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270654,   2.723,   3.978,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270700,   2.815,   4.070,   0.500,   0.755,   4.070,   0.400,   3.970,   0.500,   4.070
202602270706,   2.906,   4.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270712,   2.996,   4.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270718,   3.084,   4.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270724,   3.171,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270730,   3.256,   4.319,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270736,   3.339,   4.427,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270742,   3.421,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270748,   3.499,   4.539,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270754,   3.576,   4.739,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270800,   3.650,   4.818,   0.500,   0.668,   4.818,   0.400,   4.718,   0.500,   4.818
202602270806,   3.720,   4.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270812,   3.788,   4.808,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270818,   3.853,   4.867,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270824,   3.914,   4.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270830,   3.972,   4.949,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270836,   4.026,   4.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270842,   4.076,   5.038,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270848,   4.123,   5.077,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602270854,   4.165,   5.110,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
